Entidad federativa,Nivel educativo,Ciclo escolar,Tasa de Deserción
Aguascalientes,Secundaria,2005/2006,8.2
Aguascalientes,Media superior,2005/2006,15.6
Aguascalientes,Superior,2005/2006,6.1
Baja California,Primaria,2005/2006,1.2
Baja California,Secundaria,2005/2006,7.0
Baja California,Media superior,2005/2006,20.1
Baja California,Superior,2005/2006,5.3
Baja California Sur,Primaria,2005/2006,-0.7
Baja California Sur,Secundaria,2005/2006,4.6
Baja California Sur,Media superior,2005/2006,20.4
Baja California Sur,Superior,2005/2006,17.5
Campeche,Primaria,2005/2006,2.1
Campeche,Secundaria,2005/2006,8.6
Campeche,Media superior,2005/2006,17.6
Campeche,Superior,2005/2006,14.1
Coahuila,Primaria,2005/2006,0.7
Coahuila,Secundaria,2005/2006,6.6
Coahuila,Media superior,2005/2006,19.1
Coahuila,Superior,2005/2006,9.5
Colima,Primaria,2005/2006,-0.2
Colima,Secundaria,2005/2006,4.4
Colima,Media superior,2005/2006,12.8
Colima,Superior,2005/2006,8.5
Chiapas,Primaria,2005/2006,2.9
Chiapas,Secundaria,2005/2006,8.0
Chiapas,Media superior,2005/2006,13.0
Chiapas,Superior,2005/2006,6.7
Chihuahua,Primaria,2005/2006,1.9
Chihuahua,Secundaria,2005/2006,8.1
Chihuahua,Media superior,2005/2006,18.7
Chihuahua,Superior,2005/2006,5.6
Ciudad de México,Primaria,2005/2006,1.9
Ciudad de México,Secundaria,2005/2006,10.0
Ciudad de México,Media superior,2005/2006,17.3
Ciudad de México,Superior,2005/2006,3.6
Durango,Primaria,2005/2006,1.6
Durango,Secundaria,2005/2006,6.6
Durango,Media superior,2005/2006,20.2
Durango,Superior,2005/2006,4.1
Guanajuato,Primaria,2005/2006,0.8
Guanajuato,Secundaria,2005/2006,7.8
Guanajuato,Media superior,2005/2006,16.5
Guanajuato,Superior,2005/2006,12.6
Guerrero,Primaria,2005/2006,2.8
Guerrero,Secundaria,2005/2006,8.9
Guerrero,Media superior,2005/2006,13.9
Guerrero,Superior,2005/2006,8.1
Hidalgo,Primaria,2005/2006,0.3
Hidalgo,Secundaria,2005/2006,4.9
Hidalgo,Media superior,2005/2006,17.7
Hidalgo,Superior,2005/2006,3.5
Jalisco,Primaria,2005/2006,1.1
Jalisco,Secundaria,2005/2006,9.4
Jalisco,Media superior,2005/2006,15.7
Jalisco,Superior,2005/2006,2.9
México,Primaria,2005/2006,1.0
México,Secundaria,2005/2006,6.6
México,Media superior,2005/2006,17.1
México,Superior,2005/2006,6.8
Michoacán,Primaria,2005/2006,1.7
Michoacán,Secundaria,2005/2006,11.1
Michoacán,Media superior,2005/2006,14.7
Michoacán,Superior,2005/2006,15.0
Morelos,Primaria,2005/2006,0.8
Morelos,Secundaria,2005/2006,8.4
Morelos,Media superior,2005/2006,18.3
Morelos,Superior,2005/2006,11.2
Nayarit,Primaria,2005/2006,1.1
Nayarit,Secundaria,2005/2006,8.0
Nayarit,Media superior,2005/2006,18.7
Nayarit,Superior,2005/2006,8.5
Nuevo León,Primaria,2005/2006,0.4
Nuevo León,Secundaria,2005/2006,5.1
Nuevo León,Media superior,2005/2006,22.9
Nuevo León,Superior,2005/2006,2.4
Oaxaca,Primaria,2005/2006,-0.2
Oaxaca,Secundaria,2005/2006,11.3
Oaxaca,Media superior,2005/2006,15.2
Oaxaca,Superior,2005/2006,12.3
Puebla,Primaria,2005/2006,1.6
Puebla,Secundaria,2005/2006,6.0
Puebla,Media superior,2005/2006,12.4
Puebla,Superior,2005/2006,12.4
Querétaro,Primaria,2005/2006,0.7
Querétaro,Secundaria,2005/2006,8.5
Querétaro,Media superior,2005/2006,14.6
Querétaro,Superior,2005/2006,4.3
Quintana Roo,Primaria,2005/2006,0.1
Quintana Roo,Secundaria,2005/2006,6.9
Quintana Roo,Media superior,2005/2006,19.1
Quintana Roo,Superior,2005/2006,11.5
San Luis Potosí,Primaria,2005/2006,1.3
San Luis Potosí,Secundaria,2005/2006,6.9
San Luis Potosí,Media superior,2005/2006,15.1
San Luis Potosí,Superior,2005/2006,12.5
Sinaloa,Primaria,2005/2006,2.0
Sinaloa,Secundaria,2005/2006,7.4
Sinaloa,Media superior,2005/2006,15.4
Sinaloa,Superior,2005/2006,7.8
Sonora,Primaria,2005/2006,1.2
Sonora,Secundaria,2005/2006,7.6
Sonora,Media superior,2005/2006,20.5
Sonora,Superior,2005/2006,12.0
Tabasco,Primaria,2005/2006,1.3
Tabasco,Secundaria,2005/2006,6.4
Tabasco,Media superior,2005/2006,16.7
Tabasco,Superior,2005/2006,8.1
Tamaulipas,Primaria,2005/2006,1.3
Tamaulipas,Secundaria,2005/2006,6.0
Tamaulipas,Media superior,2005/2006,15.6
Tamaulipas,Superior,2005/2006,8.8
Tlaxcala,Primaria,2005/2006,0.7
Tlaxcala,Secundaria,2005/2006,5.0
Tlaxcala,Media superior,2005/2006,14.1
Tlaxcala,Superior,2005/2006,9.1
Veracruz,Primaria,2005/2006,1.7
Veracruz,Secundaria,2005/2006,7.3
Veracruz,Media superior,2005/2006,13.6
Veracruz,Superior,2005/2006,12.4
Yucatán,Primaria,2005/2006,2.0
Yucatán,Secundaria,2005/2006,9.1
Yucatán,Media superior,2005/2006,17.0
Yucatán,Superior,2005/2006,6.4
Zacatecas,Primaria,2005/2006,1.4
Zacatecas,Secundaria,2005/2006,9.0
Zacatecas,Media superior,2005/2006,16.6
Zacatecas,Superior,2005/2006,11.0
Aguascalientes,Primaria,2010/2011,-0.2
Aguascalientes,Secundaria,2010/2011,4.5
Aguascalientes,Media superior,2010/2011,15.2
Aguascalientes,Superior,2010/2011,7.2
Baja California,Primaria,2010/2011,0.2
Baja California,Secundaria,2010/2011,5.6
Baja California,Media superior,2010/2011,16.2
Baja California,Superior,2010/2011,3.4
Baja California Sur,Primaria,2010/2011,0.6
Baja California Sur,Secundaria,2010/2011,2.4
Baja California Sur,Media superior,2010/2011,14.6
Baja California Sur,Superior,2010/2011,9.6
Campeche,Primaria,2010/2011,1.3
Campeche,Secundaria,2010/2011,6.9
Campeche,Media superior,2010/2011,16.3
Campeche,Superior,2010/2011,12.2
Coahuila,Primaria,2010/2011,0.4
Coahuila,Secundaria,2010/2011,8.2
Coahuila,Media superior,2010/2011,17.4
Coahuila,Superior,2010/2011,7.6
Colima,Primaria,2010/2011,-0.9
Colima,Secundaria,2010/2011,6.0
Colima,Media superior,2010/2011,13.7
Colima,Superior,2010/2011,10.8
Chiapas,Primaria,2010/2011,1.4
Chiapas,Secundaria,2010/2011,5.5
Chiapas,Media superior,2010/2011,10.4
Chiapas,Superior,2010/2011,4.1
Chihuahua,Primaria,2010/2011,1.0
Chihuahua,Secundaria,2010/2011,5.8
Chihuahua,Media superior,2010/2011,17.6
Chihuahua,Superior,2010/2011,6.2
Ciudad de México,Primaria,2010/2011,0.1
Ciudad de México,Secundaria,2010/2011,5.9
Ciudad de México,Media superior,2010/2011,18.5
Ciudad de México,Superior,2010/2011,3.8
Durango,Primaria,2010/2011,-0.3
Durango,Secundaria,2010/2011,6.4
Durango,Media superior,2010/2011,15.8
Durango,Superior,2010/2011,5.5
Guanajuato,Primaria,2010/2011,0.2
Guanajuato,Secundaria,2010/2011,5.2
Guanajuato,Media superior,2010/2011,17.5
Guanajuato,Superior,2010/2011,7.9
Guerrero,Primaria,2010/2011,1.5
Guerrero,Secundaria,2010/2011,6.6
Guerrero,Media superior,2010/2011,12.8
Guerrero,Superior,2010/2011,10.9
Hidalgo,Primaria,2010/2011,-0.1
Hidalgo,Secundaria,2010/2011,3.4
Hidalgo,Media superior,2010/2011,14.9
Hidalgo,Superior,2010/2011,4.4
Jalisco,Primaria,2010/2011,0.9
Jalisco,Secundaria,2010/2011,6.9
Jalisco,Media superior,2010/2011,15.4
Jalisco,Superior,2010/2011,6.5
México,Primaria,2010/2011,0.5
México,Secundaria,2010/2011,4.6
México,Media superior,2010/2011,15.2
México,Superior,2010/2011,7.1
Michoacán,Primaria,2010/2011,1.4
Michoacán,Secundaria,2010/2011,9.1
Michoacán,Media superior,2010/2011,13.0
Michoacán,Superior,2010/2011,7.6
Morelos,Primaria,2010/2011,0.4
Morelos,Secundaria,2010/2011,2.9
Morelos,Media superior,2010/2011,17.5
Morelos,Superior,2010/2011,5.3
Nayarit,Primaria,2010/2011,-0.6
Nayarit,Secundaria,2010/2011,4.8
Nayarit,Media superior,2010/2011,13.4
Nayarit,Superior,2010/2011,14.3
Nuevo León,Primaria,2010/2011,0.4
Nuevo León,Secundaria,2010/2011,4.2
Nuevo León,Media superior,2010/2011,23.6
Nuevo León,Superior,2010/2011,-4.1
Oaxaca,Primaria,2010/2011,1.7
Oaxaca,Secundaria,2010/2011,6.6
Oaxaca,Media superior,2010/2011,14.2
Oaxaca,Superior,2010/2011,13.0
Puebla,Primaria,2010/2011,0.4
Puebla,Secundaria,2010/2011,4.1
Puebla,Media superior,2010/2011,10.1
Puebla,Superior,2010/2011,10.1
Querétaro,Primaria,2010/2011,-0.2
Querétaro,Secundaria,2010/2011,7.4
Querétaro,Media superior,2010/2011,13.8
Querétaro,Superior,2010/2011,2.3
Quintana Roo,Primaria,2010/2011,0.2
Quintana Roo,Secundaria,2010/2011,5.7
Quintana Roo,Media superior,2010/2011,14.0
Quintana Roo,Superior,2010/2011,19.6
San Luis Potosí,Primaria,2010/2011,0.7
San Luis Potosí,Secundaria,2010/2011,4.5
San Luis Potosí,Media superior,2010/2011,12.6
San Luis Potosí,Superior,2010/2011,11.4
Sinaloa,Primaria,2010/2011,1.3
Sinaloa,Secundaria,2010/2011,6.0
Sinaloa,Media superior,2010/2011,13.4
Sinaloa,Superior,2010/2011,7.0
Sonora,Primaria,2010/2011,0.6
Sonora,Secundaria,2010/2011,5.4
Sonora,Media superior,2010/2011,14.4
Sonora,Superior,2010/2011,10.1
Tabasco,Primaria,2010/2011,0.9
Tabasco,Secundaria,2010/2011,5.5
Tabasco,Media superior,2010/2011,12.0
Tabasco,Superior,2010/2011,10.4
Tamaulipas,Primaria,2010/2011,1.2
Tamaulipas,Secundaria,2010/2011,6.8
Tamaulipas,Media superior,2010/2011,12.9
Tamaulipas,Superior,2010/2011,10.8
Tlaxcala,Primaria,2010/2011,0.2
Tlaxcala,Secundaria,2010/2011,5.1
Tlaxcala,Media superior,2010/2011,14.6
Tlaxcala,Superior,2010/2011,8.5
Veracruz,Primaria,2010/2011,1.4
Veracruz,Secundaria,2010/2011,5.4
Veracruz,Media superior,2010/2011,12.0
Veracruz,Superior,2010/2011,13.1
Yucatán,Primaria,2010/2011,1.5
Yucatán,Secundaria,2010/2011,4.4
Yucatán,Media superior,2010/2011,16.3
Yucatán,Superior,2010/2011,9.7
Zacatecas,Primaria,2010/2011,0.8
Zacatecas,Secundaria,2010/2011,5.9
Zacatecas,Media superior,2010/2011,14.3
Zacatecas,Superior,2010/2011,8.8
Aguascalientes,Primaria,2015/2016,0.2
Aguascalientes,Secundaria,2015/2016,5.9
Aguascalientes,Media superior,2015/2016,14.2
Aguascalientes,Superior,2015/2016,6.3
Baja California,Primaria,2015/2016,-0.2
Baja California,Secundaria,2015/2016,4.6
Baja California,Media superior,2015/2016,17.8
Baja California,Superior,2015/2016,3.9
Baja California Sur,Primaria,2015/2016,-0.3
Baja California Sur,Secundaria,2015/2016,4.6
Baja California Sur,Media superior,2015/2016,14.0
Baja California Sur,Superior,2015/2016,14.8
Campeche,Primaria,2015/2016,1.6
Campeche,Secundaria,2015/2016,8.2
Campeche,Media superior,2015/2016,17.5
Campeche,Superior,2015/2016,11.4
Coahuila,Primaria,2015/2016,0.7
Coahuila,Secundaria,2015/2016,4.9
Coahuila,Media superior,2015/2016,16.1
Coahuila,Superior,2015/2016,8.6
Colima,Primaria,2015/2016,0.9
Colima,Secundaria,2015/2016,1.0
Colima,Media superior,2015/2016,15.4
Colima,Superior,2015/2016,10.6
Chiapas,Primaria,2015/2016,1.5
Chiapas,Secundaria,2015/2016,5.7
Chiapas,Media superior,2015/2016,14.3
Chiapas,Superior,2015/2016,3.6
Chihuahua,Primaria,2015/2016,0.2
Chihuahua,Secundaria,2015/2016,6.4
Chihuahua,Media superior,2015/2016,16.9
Chihuahua,Superior,2015/2016,6.6
Ciudad de México,Primaria,2015/2016,1.3
Ciudad de México,Secundaria,2015/2016,-1.2
Ciudad de México,Media superior,2015/2016,24.4
Ciudad de México,Superior,2015/2016,3.7
Durango,Primaria,2015/2016,0.9
Durango,Secundaria,2015/2016,6.8
Durango,Media superior,2015/2016,18.2
Durango,Superior,2015/2016,5.9
Guanajuato,Primaria,2015/2016,0.5
Guanajuato,Secundaria,2015/2016,5.3
Guanajuato,Media superior,2015/2016,18.9
Guanajuato,Superior,2015/2016,1.6
Guerrero,Primaria,2015/2016,2.1
Guerrero,Secundaria,2015/2016,6.7
Guerrero,Media superior,2015/2016,13.1
Guerrero,Superior,2015/2016,5.0
Hidalgo,Primaria,2015/2016,-0.2
Hidalgo,Secundaria,2015/2016,2.8
Hidalgo,Media superior,2015/2016,14.8
Hidalgo,Superior,2015/2016,5.1
Jalisco,Primaria,2015/2016,0.9
Jalisco,Secundaria,2015/2016,5.8
Jalisco,Media superior,2015/2016,15.3
Jalisco,Superior,2015/2016,2.3
México,Primaria,2015/2016,0.5
México,Secundaria,2015/2016,2.4
México,Media superior,2015/2016,14.6
México,Superior,2015/2016,9.6
Michoacán,Primaria,2015/2016,2.2
Michoacán,Secundaria,2015/2016,9.2
Michoacán,Media superior,2015/2016,14.5
Michoacán,Superior,2015/2016,10.1
Morelos,Primaria,2015/2016,0.7
Morelos,Secundaria,2015/2016,2.9
Morelos,Media superior,2015/2016,21.5
Morelos,Superior,2015/2016,4.1
Nayarit,Primaria,2015/2016,0.8
Nayarit,Secundaria,2015/2016,3.8
Nayarit,Media superior,2015/2016,17.3
Nayarit,Superior,2015/2016,5.2
Nuevo León,Primaria,2015/2016,-0.4
Nuevo León,Secundaria,2015/2016,3.5
Nuevo León,Media superior,2015/2016,12.4
Nuevo León,Superior,2015/2016,2.2
Oaxaca,Primaria,2015/2016,1.0
Oaxaca,Secundaria,2015/2016,4.7
Oaxaca,Media superior,2015/2016,12.7
Oaxaca,Superior,2015/2016,12.2
Puebla,Primaria,2015/2016,0.4
Puebla,Secundaria,2015/2016,4.5
Puebla,Media superior,2015/2016,11.0
Puebla,Superior,2015/2016,9.7
Querétaro,Primaria,2015/2016,-0.4
Querétaro,Secundaria,2015/2016,6.6
Querétaro,Media superior,2015/2016,13.7
Querétaro,Superior,2015/2016,1.2
Quintana Roo,Primaria,2015/2016,-1.6
Quintana Roo,Secundaria,2015/2016,4.2
Quintana Roo,Media superior,2015/2016,13.0
Quintana Roo,Superior,2015/2016,14.3
San Luis Potosí,Primaria,2015/2016,0.6
San Luis Potosí,Secundaria,2015/2016,5.1
San Luis Potosí,Media superior,2015/2016,14.1
San Luis Potosí,Superior,2015/2016,10.0
Sinaloa,Primaria,2015/2016,0.7
Sinaloa,Secundaria,2015/2016,4.7
Sinaloa,Media superior,2015/2016,11.8
Sinaloa,Superior,2015/2016,8.8
Sonora,Primaria,2015/2016,0.6
Sonora,Secundaria,2015/2016,6.8
Sonora,Media superior,2015/2016,14.0
Sonora,Superior,2015/2016,13.2
Tabasco,Primaria,2015/2016,1.1
Tabasco,Secundaria,2015/2016,4.6
Tabasco,Media superior,2015/2016,11.9
Tabasco,Superior,2015/2016,11.4
Tamaulipas,Primaria,2015/2016,1.0
Tamaulipas,Secundaria,2015/2016,5.9
Tamaulipas,Media superior,2015/2016,15.5
Tamaulipas,Superior,2015/2016,8.8
Tlaxcala,Primaria,2015/2016,0.0
Tlaxcala,Secundaria,2015/2016,3.9
Tlaxcala,Media superior,2015/2016,14.3
Tlaxcala,Superior,2015/2016,4.0
Veracruz,Primaria,2015/2016,1.4
Veracruz,Secundaria,2015/2016,4.2
Veracruz,Media superior,2015/2016,12.8
Veracruz,Superior,2015/2016,12.4
Yucatán,Primaria,2015/2016,0.4
Yucatán,Secundaria,2015/2016,6.1
Yucatán,Media superior,2015/2016,14.7
Yucatán,Superior,2015/2016,8.3
Zacatecas,Primaria,2015/2016,0.7
Zacatecas,Secundaria,2015/2016,6.6
Zacatecas,Media superior,2015/2016,13.7
Zacatecas,Superior,2015/2016,12.0
Aguascalientes,Primaria,2020/2021,0.7
Aguascalientes,Secundaria,2020/2021,3.0
Aguascalientes,Media superior,2020/2021,13.5
Aguascalientes,Superior,2020/2021,4.8
Baja California,Primaria,2020/2021,-0.5
Baja California,Secundaria,2020/2021,1.4
Baja California,Media superior,2020/2021,15.2
Baja California,Superior,2020/2021,5.1
Baja California Sur,Primaria,2020/2021,0.0
Baja California Sur,Secundaria,2020/2021,2.0
Baja California Sur,Media superior,2020/2021,14.0
Baja California Sur,Superior,2020/2021,15.6
Campeche,Primaria,2020/2021,1.0
Campeche,Secundaria,2020/2021,4.6
Campeche,Media superior,2020/2021,12.9
Campeche,Superior,2020/2021,12.8
Coahuila,Primaria,2020/2021,0.3
Coahuila,Secundaria,2020/2021,2.2
Coahuila,Media superior,2020/2021,13.1
Coahuila,Superior,2020/2021,11.2
Colima,Primaria,2020/2021,0.5
Colima,Secundaria,2020/2021,3.3
Colima,Media superior,2020/2021,12.5
Colima,Superior,2020/2021,14.6
Chiapas,Primaria,2020/2021,0.8
Chiapas,Secundaria,2020/2021,3.9
Chiapas,Media superior,2020/2021,10.7
Chiapas,Superior,2020/2021,3.6
Chihuahua,Primaria,2020/2021,-0.6
Chihuahua,Secundaria,2020/2021,1.7
Chihuahua,Media superior,2020/2021,16.5
Chihuahua,Superior,2020/2021,10.0
Ciudad de México,Primaria,2020/2021,-0.2
Ciudad de México,Secundaria,2020/2021,1.7
Ciudad de México,Media superior,2020/2021,9.4
Ciudad de México,Superior,2020/2021,7.7
Durango,Primaria,2020/2021,1.2
Durango,Secundaria,2020/2021,4.5
Durango,Media superior,2020/2021,14.6
Durango,Superior,2020/2021,10.5
Guanajuato,Primaria,2020/2021,0.6
Guanajuato,Secundaria,2020/2021,3.6
Guanajuato,Media superior,2020/2021,15.5
Guanajuato,Superior,2020/2021,6.8
Guerrero,Primaria,2020/2021,0.9
Guerrero,Secundaria,2020/2021,3.2
Guerrero,Media superior,2020/2021,13.9
Guerrero,Superior,2020/2021,14.6
Hidalgo,Primaria,2020/2021,-0.1
Hidalgo,Secundaria,2020/2021,2.6
Hidalgo,Media superior,2020/2021,14.6
Hidalgo,Superior,2020/2021,8.5
Jalisco,Primaria,2020/2021,-0.4
Jalisco,Secundaria,2020/2021,2.1
Jalisco,Media superior,2020/2021,1.0
Jalisco,Superior,2020/2021,3.2
México,Primaria,2020/2021,1.5
México,Secundaria,2020/2021,2.4
México,Media superior,2020/2021,10.3
México,Superior,2020/2021,9.4
Michoacán,Primaria,2020/2021,2.0
Michoacán,Secundaria,2020/2021,8.1
Michoacán,Media superior,2020/2021,16.0
Michoacán,Superior,2020/2021,12.8
Morelos,Primaria,2020/2021,1.0
Morelos,Secundaria,2020/2021,4.5
Morelos,Media superior,2020/2021,16.3
Morelos,Superior,2020/2021,6.7
Nayarit,Primaria,2020/2021,0.2
Nayarit,Secundaria,2020/2021,2.8
Nayarit,Media superior,2020/2021,15.7
Nayarit,Superior,2020/2021,7.5
Nuevo León,Primaria,2020/2021,-0.1
Nuevo León,Secundaria,2020/2021,1.0
Nuevo León,Media superior,2020/2021,9.7
Nuevo León,Superior,2020/2021,0.8
Oaxaca,Primaria,2020/2021,-1.5
Oaxaca,Secundaria,2020/2021,6.0
Oaxaca,Media superior,2020/2021,15.0
Oaxaca,Superior,2020/2021,12.2
Puebla,Primaria,2020/2021,1.1
Puebla,Secundaria,2020/2021,3.3
Puebla,Media superior,2020/2021,8.9
Puebla,Superior,2020/2021,7.8
Querétaro,Primaria,2020/2021,-0.1
Querétaro,Secundaria,2020/2021,2.0
Querétaro,Media superior,2020/2021,15.7
Querétaro,Superior,2020/2021,5.1
Quintana Roo,Primaria,2020/2021,0.0
Quintana Roo,Secundaria,2020/2021,0.5
Quintana Roo,Media superior,2020/2021,9.7
Quintana Roo,Superior,2020/2021,18.0
San Luis Potosí,Primaria,2020/2021,1.0
San Luis Potosí,Secundaria,2020/2021,4.1
San Luis Potosí,Media superior,2020/2021,12.9
San Luis Potosí,Superior,2020/2021,11.0
Sinaloa,Primaria,2020/2021,-0.1
Sinaloa,Secundaria,2020/2021,3.4
Sinaloa,Media superior,2020/2021,16.3
Sinaloa,Superior,2020/2021,18.0
Sonora,Primaria,2020/2021,0.2
Sonora,Secundaria,2020/2021,1.1
Sonora,Media superior,2020/2021,12.8
